NAME,ID,GENRE_NAME,VALUE
top_genres_for_artists_created_in_2023,G2.2,Smooth Jazz,52.0
top_genres_for_artists_created_in_2023,G2.2,Latin Children's Music,6.0
top_genres_for_artists_created_in_2023,G2.2,Standards,15.0
top_new_artist_genre_growth_2022_to_2023,G2.4,R&B/Soul,115.95973099999999
top_genres_for_artists_created_in_2023,G2.2,Indie Pop,866.0
top_genres_for_tracks_released_in_2023,G2.6,R&B/Soul,197162.0
top_genres_for_tracks_released_in_2022,G2.7,New Wave,1261.0
top_genres_for_tracks_released_in_2022,G2.7,Smooth Jazz,3807.0
top_genres_for_tracks_all_time,G2.5,Pop,6918467.0
top_genres_for_tracks_released_in_2023,G2.6,Motown,57.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Rock,67.0
top_genres_for_tracks_released_in_2023,G2.6,Psychedelic,2065.0
top_genres_for_tracks_released_in_2022,G2.7,Latin,283676.0
top_genres_for_tracks_released_in_2023,G2.6,Indian Rock,86.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Classical,786.0
top_genres_for_artists_created_in_2023,G2.2,Classical,4544.0
top_genres_for_tracks_released_in_2022,G2.7,Metal,70268.0
top_genres_for_tracks_released_in_2023,G2.6,Americana,429.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Children's Music,4.0
top_genres_for_artists_created_in_2023,G2.2,Latin Folk,5.0
top_genres_for_tracks_released_in_2022,G2.7,Rockabilly,239.0
